children,adults,elderly,food_ordered,food_wasted
68,170,26,42,6
73,183,44,41,5
77,193,16,39,4
11,28,37,18,2
71,178,20,42,5
61,153,22,32,4
72,180,44,34,4
47,118,31,39,6
50,125,42,26,3
82,205,33,50,5
92,230,37,36,4
125,313,16,62,7
69,173,38,31,4
54,135,44,39,5
34,85,39,23,3
70,175,44,46,5
112,280,11,58,9
20,50,41,14,2
25,63,39,16,2
105,263,12,56,7
43,108,41,33,5
70,175,43,35,4
34,85,37,14,2
24,60,23,10,1
44,110,13,32,4
17,43,15,26,3
49,123,18,26,4
122,305,23,55,7
54,135,41,35,4
95,238,29,38,4
45,113,34,20,2
51,128,12,28,3
98,245,11,44,5
77,193,25,40,5
11,28,32,16,2
28,70,14,12,2
108,270,44,58,8
109,273,29,50,7
68,170,18,29,4
47,118,21,23,3
49,123,12,38,6
52,130,44,33,4
24,60,39,21,3
110,275,23,57,6
99,248,22,50,6
53,133,22,25,3
106,265,39,54,8
12,30,7,21,3
74,185,20,30,4
10,25,7,14,2
56,140,18,33,4
69,173,11,39,5
103,258,26,52,8
15,38,39,25,4
53,133,41,33,4
79,198,22,38,4
85,213,30,35,4
67,168,44,37,6
71,178,43,39,6
83,208,13,31,4
110,275,44,43,5
58,145,44,34,5
111,278,41,43,5
85,213,40,43,4
76,190,22,39,5
112,280,26,56,6
62,155,38,25,3
106,265,29,53,6
86,215,21,35,4
35,88,31,22,2
67,168,21,34,5
59,148,23,40,5
54,135,33,35,4
30,75,29,22,3
67,168,11,41,5
87,218,16,51,6
81,203,42,44,6
27,68,8,12,2
69,173,38,46,6
74,185,20,45,7
15,38,15,18,2
72,180,35,38,5
62,155,42,39,4
61,153,39,34,4
69,173,38,31,4
107,268,41,53,6
56,140,27,22,3
120,300,33,67,7
26,65,23,11,1
68,170,20,46,6
83,208,33,35,5
33,83,32,17,2
107,268,37,57,7
57,143,38,28,3
18,45,20,25,3
96,240,20,56,6
29,73,35,29,4
103,258,34,46,5
59,148,29,27,4
21,53,30,20,2
40,100,28,30,4
84,210,22,43,5
109,273,17,54,7
30,75,33,16,2
66,165,26,43,6
89,223,37,48,7
95,238,15,47,6
30,75,44,32,3
51,128,17,30,4
14,35,20,16,2
31,78,27,27,4
23,58,20,11,2
117,293,44,51,5
76,190,24,29,3
104,260,29,43,4
122,305,15,58,8
114,285,28,61,9
124,310,9,55,8
41,103,8,16,2
119,298,30,61,7
107,268,7,46,6
73,183,33,40,4
105,263,18,60,7
57,143,26,27,3
89,223,11,35,4
91,228,15,49,5
110,275,8,43,6
46,115,44,23,3
62,155,17,36,5
37,93,37,16,2
115,288,14,60,6
94,235,21,49,7
117,293,24,64,7
25,63,32,11,1
110,275,41,45,5
90,225,43,46,6
65,163,41,35,5
40,100,17,20,2
93,233,22,38,5
35,88,14,25,3
119,298,22,50,6
67,168,27,29,4
98,245,17,51,7
15,38,34,24,3
97,243,38,51,6
123,308,23,62,7
36,90,31,27,4
49,123,29,23,3
62,155,22,37,5
44,110,29,21,3
90,225,8,54,6
86,215,39,50,7
103,258,9,43,5
28,70,26,21,3
123,308,37,48,5
91,228,40,52,7
28,70,24,14,2
57,143,23,22,2
49,123,26,35,5
108,270,27,58,7
98,245,39,56,8
65,163,19,35,4
25,63,42,10,1
48,120,44,26,4
22,55,18,15,2
23,58,26,21,3
15,38,12,16,2
18,45,24,19,2
90,225,6,40,5
79,198,11,44,5
99,248,38,47,7
99,248,30,47,6
24,60,24,18,2
113,283,34,52,7
61,153,17,42,6
104,260,16,46,5
66,165,39,45,6
87,218,13,52,7
77,193,44,51,8
45,113,39,24,3
120,300,16,64,7
63,158,19,28,4
70,175,44,34,5
26,65,31,29,4
88,220,32,43,6
110,275,28,61,9
17,43,20,8,1
76,190,21,37,4
104,260,28,44,6
22,55,14,25,3
113,283,27,48,6
12,30,38,23,3
46,115,16,30,4
114,285,13,43,4
124,310,24,47,5
15,38,9,23,2
106,265,14,58,7
55,138,37,28,3
35,88,29,16,2
89,223,43,53,6
63,158,12,38,5
20,50,28,13,1
17,43,21,18,2
32,80,44,26,3
112,280,11,59,6
123,308,21,59,7
109,273,7,44,6
48,120,31,30,3
108,270,19,51,6
16,40,43,10,1
89,223,40,40,6
14,35,38,17,2
101,253,9,49,5
69,173,21,34,5
21,53,14,26,4
92,230,29,51,6
101,253,8,46,7
51,128,41,37,4
56,140,29,36,4
13,33,36,18,3
89,223,7,41,4
121,303,43,64,9
30,75,32,17,2
87,218,21,44,5
100,250,14,56,7
17,43,44,22,3
76,190,22,31,5
107,268,16,54,7
31,78,8,21,3
23,58,23,14,2
90,225,27,43,4
24,60,25,27,4
35,88,21,15,2
76,190,41,35,4
117,293,28,46,6
118,295,21,48,6
100,250,10,43,6
58,145,38,41,6
72,180,14,40,4
32,80,36,16,2
43,108,22,17,2
54,135,13,19,2
122,305,18,63,9
31,78,42,20,3
113,283,14,58,6
31,78,12,26,3
64,160,38,39,5
24,60,14,25,3
64,160,16,26,3
52,130,38,23,2
80,200,35,38,5
18,45,12,14,2
38,95,44,16,2
62,155,32,35,4
98,245,41,49,7
99,248,39,54,5
110,275,23,55,6
23,58,14,10,1
21,53,38,20,3
40,100,19,15,2
32,80,15,31,4
59,148,8,37,4
95,238,16,51,7
90,225,26,44,4
72,180,10,40,5
115,288,45,59,7
115,288,19,56,7
25,63,39,25,4
62,155,39,29,3
79,198,26,40,5
74,185,31,47,6
101,253,30,57,7
28,70,16,18,2
32,80,11,19,3
13,33,43,13,2
24,60,41,11,2
71,178,18,42,6
53,133,37,40,4
44,110,36,29,4
56,140,41,31,3
67,168,28,39,6
102,255,31,53,7
114,285,10,59,6
45,113,15,27,3
117,293,29,55,7
110,275,11,44,6
81,203,45,45,6
13,33,41,19,2
69,173,11,36,5
115,288,35,61,9
27,68,42,17,2
48,120,27,29,3
10,25,39,11,1
58,145,7,29,4
64,160,26,30,4
35,88,38,35,5
112,280,43,63,8
28,70,44,20,3
53,133,43,35,4
58,145,26,35,4
90,225,14,40,5
28,70,33,22,3
87,218,43,54,8
22,55,24,13,1
17,43,17,27,3
30,75,13,23,3
79,198,8,40,5
96,240,21,46,5
124,310,9,55,7
101,253,29,47,6
33,83,41,25,4
36,90,34,29,4
22,55,40,28,3
41,103,27,34,4
113,283,37,60,6
85,213,6,46,5
68,170,28,39,6
86,215,10,38,5
120,300,7,48,5
27,68,7,10,1
105,263,24,41,4
101,253,15,48,7
46,115,44,33,4
59,148,19,35,4
118,295,22,45,6
117,293,14,58,8
113,283,31,53,7
60,150,22,24,4
21,53,25,23,2
26,65,37,22,3
103,258,43,46,6
16,40,26,26,3
57,143,33,24,3
123,308,34,50,7
104,260,30,60,8
72,180,31,33,4
83,208,32,36,5
123,308,30,51,6
15,38,20,11,1
105,263,14,46,5
36,90,9,22,3
44,110,11,16,2
88,220,31,40,5
65,163,41,29,4
94,235,44,51,7
60,150,29,43,6
12,30,10,14,2
101,253,10,40,5
114,285,15,53,6
84,210,7,51,7
87,218,21,35,4
32,80,31,15,2
87,218,41,52,6
119,298,29,49,6
37,93,44,15,2
33,83,33,16,2
98,245,43,39,6
48,120,8,19,2
103,258,22,40,4
116,290,38,58,6
99,248,45,45,6
116,290,38,60,8
114,285,20,50,5
119,298,41,65,8
104,260,43,52,7
98,245,26,41,5
104,260,18,40,6
47,118,20,26,3
60,150,44,26,4
92,230,27,46,5
76,190,38,50,7
110,275,26,46,6
41,103,22,34,5
57,143,33,37,5
26,65,29,30,4
44,110,42,36,5
91,228,18,36,4
33,83,6,24,4
67,168,39,28,3
20,50,28,23,3
25,63,29,12,2
28,70,13,14,1
14,35,36,19,3
65,163,15,34,5
19,48,40,18,3
22,55,43,27,3
73,183,21,34,4
80,200,19,35,4
65,163,27,26,4
80,200,38,52,6
12,30,34,8,1
120,300,25,53,7
27,68,23,12,2
66,165,15,31,3
22,55,32,21,2
11,28,31,22,3
46,115,16,34,4
108,270,28,52,6
70,175,17,42,5
39,98,40,18,2
82,205,16,41,5
