children,adults,elderly,food_ordered,food_wasted
29,73,29,24,2
124,310,17,60,7
41,103,8,21,2
84,210,26,51,6
31,78,8,25,3
74,185,20,44,6
68,170,14,34,4
46,115,19,21,2
116,290,33,45,6
49,123,26,38,6
119,298,11,59,7
59,148,9,37,4
103,258,25,54,7
122,305,9,53,8
71,178,27,30,3
45,113,44,39,5
21,53,44,29,3
80,200,45,35,4
43,108,43,17,2
115,288,21,54,7
113,283,15,57,7
96,240,31,40,5
122,305,22,58,8
46,115,27,25,3
51,128,35,29,4
82,205,43,38,4
33,83,10,24,2
64,160,28,35,4
67,168,40,38,6
117,293,35,63,7
71,178,42,35,5
117,293,30,58,7
111,278,21,42,5
25,63,28,25,3
80,200,38,43,5
23,58,37,15,2
122,305,15,60,7
107,268,27,42,6
35,88,29,27,3
42,105,19,36,5
66,165,34,42,5
34,85,11,16,2
29,73,22,15,2
11,28,26,12,2
46,115,25,24,2
118,295,38,51,6
112,280,16,59,7
14,35,32,10,1
101,253,37,53,7
78,195,20,40,4
19,48,15,16,2
63,158,38,44,6
52,130,32,21,2
79,198,26,48,7
119,298,21,62,7
45,113,23,29,4
66,165,19,26,3
78,195,7,39,5
100,250,11,54,7
28,70,39,23,3
92,230,19,44,5
11,28,11,9,1
56,140,18,29,4
30,75,17,19,2
11,28,44,16,2
14,35,10,21,2
109,273,42,47,6
20,50,7,9,1
21,53,28,10,1
94,235,29,47,7
113,283,22,60,8
116,290,29,61,8
26,65,16,13,2
123,308,36,65,9
31,78,15,16,2
74,185,10,46,5
90,225,35,40,5
65,163,44,38,4
49,123,41,23,3
98,245,29,42,6
56,140,29,29,4
18,45,21,19,2
71,178,28,33,5
10,25,42,12,2
71,178,43,47,6
44,110,9,17,2
41,103,28,32,3
111,278,16,42,5
10,25,6,21,2
119,298,6,54,7
100,250,25,47,7
36,90,22,17,2
57,143,45,26,3
113,283,39,63,7
88,220,30,36,4
89,223,40,44,5
16,40,16,11,1
58,145,41,24,3
91,228,22,40,6
84,210,38,39,5
95,238,18,51,7
43,108,43,34,5
20,50,35,13,2
55,138,32,41,5
39,98,27,31,3
110,275,32,46,6
55,138,8,33,5
102,255,42,47,6
80,200,40,43,6
92,230,22,51,6
124,310,42,50,7
67,168,13,28,3
45,113,13,19,3
71,178,9,30,3
71,178,19,32,4
65,163,40,28,3
56,140,22,24,3
56,140,39,38,4
110,275,42,46,7
71,178,13,42,6
16,40,20,13,1
13,33,14,13,2
118,295,29,44,6
17,43,30,28,3
69,173,12,41,6
60,150,31,31,3
87,218,42,54,7
88,220,11,33,5
52,130,41,36,5
111,278,38,52,7
85,213,24,41,5
81,203,42,47,6
111,278,32,46,6
89,223,24,34,4
94,235,31,57,6
80,200,7,47,7
91,228,23,42,6
123,308,12,63,8
51,128,10,21,2
62,155,31,29,4
37,93,7,31,4
41,103,29,17,2
105,263,29,47,6
87,218,15,51,6
79,198,26,38,6
103,258,28,58,9
46,115,13,22,3
121,303,20,61,9
92,230,25,48,6
87,218,6,47,7
46,115,44,24,3
47,118,12,33,4
58,145,33,35,4
100,250,43,50,6
44,110,18,18,2
57,143,36,42,5
61,153,44,37,4
94,235,25,36,4
16,40,17,13,2
65,163,40,28,4
102,255,25,53,8
50,125,43,31,3
59,148,22,27,3
120,300,28,49,6
42,105,12,29,4
58,145,18,34,5
85,213,42,43,6
104,260,27,45,5
120,300,23,46,5
10,25,23,7,1
26,65,32,19,3
68,170,19,30,3
57,143,24,26,3
89,223,26,48,6
82,205,14,40,5
117,293,32,51,6
118,295,32,63,7
33,83,12,27,4
121,303,29,63,7
65,163,11,36,5
40,100,30,20,3
81,203,42,40,5
36,90,41,35,4
33,83,7,18,3
87,218,27,41,5
120,300,26,59,8
55,138,23,34,4
83,208,23,32,4
44,110,30,34,4
56,140,7,34,3
95,238,15,36,4
89,223,20,33,4
78,195,27,35,4
75,188,43,40,4
85,213,30,48,5
88,220,19,33,4
15,38,15,8,1
107,268,32,43,5
78,195,39,37,5
88,220,35,45,5
91,228,20,45,6
100,250,20,55,7
88,220,29,37,5
76,190,17,45,6
102,255,11,50,7
102,255,38,39,5
110,275,12,52,5
34,85,22,33,4
87,218,19,51,7
26,65,11,24,3
109,273,24,55,8
66,165,23,33,5
57,143,9,23,3
72,180,17,31,3
103,258,7,47,6
42,105,35,21,2
86,215,12,31,4
88,220,25,39,4
94,235,37,43,5
60,150,31,27,3
59,148,16,30,4
66,165,23,35,4
79,198,18,31,4
41,103,32,21,3
71,178,11,45,5
88,220,24,43,6
119,298,16,59,9
51,128,38,24,3
117,293,14,58,7
