children,adults,elderly,food_ordered,food_wasted
444,11,788,180,67
857,370,217,219,77
708,399,600,250,76
936,937,494,397,149
402,418,493,185,35
467,66,881,151,61
402,789,55,253,144
296,55,20,48,30
445,979,64,286,77
120,157,987,155,96
107,503,878,298,172
544,742,978,408,236
831,292,270,249,117
928,871,329,412,245
404,578,274,206,124
219,119,504,109,30
256,773,992,346,226
394,553,197,241,58
370,691,469,242,166
801,140,63,108,49
827,335,185,254,141
495,814,873,421,142
273,337,673,205,126
114,195,608,111,18
985,874,588,429,297
250,131,307,121,72
356,873,899,367,78
540,298,623,187,44
979,289,15,238,148
629,643,441,296,216
226,758,643,306,64
365,846,942,398,176
687,545,594,311,174
200,141,403,78,36
590,886,876,437,249
575,909,402,334,53
22,462,517,215,40
397,569,592,305,223
445,690,304,265,162
104,828,582,311,69
297,701,910,281,131
87,777,989,340,97
47,308,670,121,68
755,603,207,280,53
855,634,550,340,99
278,897,814,324,218
408,814,704,319,237
918,210,260,228,37
234,604,43,206,44
964,21,702,241,171
846,276,687,253,91
254,761,924,310,94
172,252,226,100,38
241,36,189,62,13
490,495,947,342,158
856,364,317,221,104
785,109,978,292,183
531,168,958,223,65
959,973,966,521,155
501,98,259,120,66
989,493,908,329,230
95,502,657,198,98
611,597,81,247,103
326,390,763,240,91
604,378,203,175,43
429,537,691,242,107
66,499,547,236,152
547,351,694,196,59
794,431,913,289,55
527,652,611,277,121
372,916,978,430,244
203,899,168,228,59
401,828,603,362,94
106,422,706,195,36
436,278,672,208,99
134,884,893,348,246
574,683,121,232,58
636,436,208,210,36
985,896,936,464,197
107,618,112,137,85
681,936,475,372,181
477,104,276,127,42
978,640,598,384,180
619,180,138,122,62
91,477,914,230,74
673,746,916,337,248
689,997,489,371,77
304,836,688,297,57
19,40,528,39,20
464,657,355,248,95
822,958,869,488,115
656,149,404,209,37
48,222,795,190,99
647,255,205,186,136
484,834,751,337,54
802,133,499,211,96
166,760,431,234,90
486,874,453,386,263
382,156,856,223,40
80,632,354,212,42
635,8,879,196,60
690,203,532,187,110
346,407,808,254,38
556,23,16,77,13
840,153,39,174,109
454,719,135,299,101
988,868,410,427,138
397,334,669,188,133
397,937,968,357,107
107,272,228,125,32
396,261,487,175,78
495,521,847,265,155
864,813,123,277,75
841,184,522,222,144
307,203,488,136,35
996,768,163,368,89
582,396,708,310,211
381,343,83,149,29
376,407,701,253,83
630,899,426,352,246
739,171,280,152,45
696,273,774,294,79
18,544,994,229,91
940,47,501,229,63
864,90,466,213,140
382,140,992,229,36
586,961,391,393,223
457,88,393,131,33
747,258,854,287,63
896,682,349,307,110
606,247,742,194,62
789,38,905,234,114
846,61,654,195,95
450,709,689,346,129
2,187,97,73,39
594,829,229,307,138
742,336,305,193,63
623,172,59,150,106
965,31,352,193,123
329,713,856,279,170
534,876,312,277,173
692,81,809,213,60
33,682,195,166,60
255,73,385,129,71
416,619,707,272,119
441,767,864,394,82
333,894,753,336,103
265,592,543,242,87
973,891,679,383,209
163,133,335,135,40
404,168,857,245,69
449,402,500,207,45
646,427,585,225,89
815,629,360,304,101
622,240,337,160,45
31,105,162,61,11
568,706,186,229,44
179,619,422,276,151
21,364,357,153,34
722,531,386,277,44
76,208,635,178,119
545,19,939,152,78
370,548,876,286,86
530,432,858,305,198
573,471,33,209,80
17,868,551,330,113
793,879,450,362,79
99,99,361,35,17
991,696,317,377,93
624,648,961,314,221
684,580,358,271,120
125,498,586,214,73
912,746,483,401,292
961,26,321,144,90
765,628,445,267,145
271,370,831,181,117
382,154,398,92,33
493,379,585,245,141
361,188,784,182,59
500,513,88,213,141
540,736,826,335,77
882,507,96,254,181
72,184,472,115,36
739,114,765,222,100
95,404,939,234,44
985,147,13,115,35
720,752,301,285,146
249,411,41,121,75
419,103,901,156,75
402,240,750,172,28
759,831,333,354,164
713,214,365,220,40
463,988,224,348,163
923,12,617,211,93
146,951,429,301,184
23,220,723,145,48
732,70,436,181,66
735,540,327,249,126
114,250,401,91,44
556,928,37,267,183
918,357,130,197,92
244,380,557,238,128
208,200,927,146,78
335,979,909,351,229
934,222,518,239,91
247,526,510,210,143
136,350,953,236,114
936,720,506,329,233
373,911,84,239,104
889,137,218,162,114
686,837,726,397,63
951,567,166,265,94
485,608,321,217,82
903,676,929,350,114
688,487,467,276,98
80,679,799,289,197
566,35,408,151,94
515,597,203,220,47
811,154,493,197,117
945,373,816,303,93
880,433,805,275,45
379,67,561,172,72
802,705,828,396,192
856,996,775,452,158
5,828,935,329,199
214,707,99,187,132
516,793,696,347,113
108,203,261,143,31
55,642,469,238,152
165,933,89,253,114
690,933,283,384,226
53,5,164,15,6
751,318,244,244,145
408,419,295,194,46
509,868,493,331,100
52,119,570,121,72
687,602,367,316,228
