children,adults,elderly,food_ordered,food_wasted
380,959,355,374,163
171,174,797,189,125
850,480,852,283,53
552,778,676,342,223
634,877,691,419,70
14,703,555,263,132
554,247,541,247,171
766,498,951,338,112
729,486,83,243,89
607,156,93,144,49
808,825,362,325,194
80,519,705,252,39
65,563,328,208,48
809,969,330,417,226
581,259,340,136,90
331,630,918,342,55
483,911,554,314,62
431,179,404,174,127
663,285,11,193,136
801,979,631,399,219
182,559,802,227,107
53,736,467,292,62
388,279,538,208,37
987,744,260,318,175
676,48,287,175,27
361,900,268,261,75
506,90,501,118,77
219,716,885,312,150
529,453,671,287,121
543,623,18,243,86
316,948,260,275,164
640,679,469,308,57
426,768,180,275,188
389,399,676,190,114
534,128,612,149,48
955,79,336,185,97
374,218,697,155,89
14,129,618,64,46
805,263,590,247,47
845,798,990,431,291
378,129,880,219,159
307,317,411,188,83
94,940,501,330,168
624,249,501,249,78
676,553,380,312,158
68,57,236,99,48
495,101,547,145,47
125,117,185,61,27
946,892,852,420,127
232,557,976,251,68
726,906,912,476,313
263,104,467,126,24
800,561,673,326,139
765,348,477,236,165
879,192,485,209,147
843,295,305,218,75
990,119,227,139,70
205,685,211,250,106
98,298,24,62,16
78,847,351,278,126
778,411,999,369,258
731,640,372,305,153
452,616,882,318,209
837,220,624,191,36
703,375,916,309,120
523,672,185,272,126
100,110,80,36,6
751,500,280,222,148
46,538,802,263,161
750,930,653,417,131
939,753,778,451,208
542,515,91,162,117
220,393,208,193,71
219,565,487,246,92
47,187,776,104,33
134,559,506,219,71
186,561,220,221,91
526,131,599,213,117
209,631,796,297,175
830,273,51,205,55
720,890,291,392,158
976,42,101,140,55
607,492,802,321,181
122,543,991,296,92
643,155,434,132,71
992,127,884,283,211
179,812,769,300,171
64,458,988,247,120
883,509,860,391,260
640,385,121,235,156
82,521,126,121,55
941,593,765,366,160
391,682,712,295,122
709,349,508,236,82
857,371,386,211,45
257,600,191,250,94
9,131,558,137,29
908,826,315,341,52
948,362,462,286,96
326,748,74,233,141
358,136,959,237,39
520,155,693,156,28
301,864,854,371,131
223,380,152,163,110
633,581,931,367,218
202,940,886,349,87
579,214,793,218,103
782,295,267,254,162
229,822,910,392,74
741,655,717,369,250
347,62,910,147,60
847,616,126,290,194
119,203,975,226,155
840,774,228,364,116
953,882,786,393,156
557,929,609,337,205
314,979,341,343,81
492,560,589,255,173
